time,ECG,BR
18.835,1.539,28.4
18.84,1.501,28.4
18.845,1.498,28.4
18.85,1.522,28.4
18.855,1.49,28.3
18.86,1.476,28.4
18.865,1.498,28.4
18.87,1.529,28.5
18.875,1.498,28.6
18.88,1.486,28.6
18.885,1.506,28.5
18.89,1.537,28.5
18.895,1.51,28.5
18.9,1.496,28.4
18.905,1.514,28.5
18.91,1.55,28.4
18.915,1.518,28.4
18.92,1.476,28.4
18.925,1.446,28.4
18.93,1.443,28.4
18.935,1.458,28.3
18.94,1.61,28.3
18.945,1.889,28.3
18.95,2.291,28.4
18.955,2.625,28.5
18.96,2.862,28.5
18.965,2.925,28.5
18.97,2.814,28.4
18.975,2.394,28.4
18.98,1.677,28.5
18.985,1.205,28.5
18.99,1.003,28.6
18.995,0.882,28.5
19,0.882,28.5
19.005,0.922,28.5
19.01,0.966,28.5
19.015,0.95,28.5
19.02,0.977,28.6
19.025,1.026,28.6
19.03,1.025,28.6
19.035,0.995,28.6
19.04,1.007,28.6
19.045,1.109,28.6
19.05,1.265,28.6
19.055,1.388,28.6
19.06,1.512,28.7
19.065,1.636,28.8
19.07,1.707,28.9
19.075,1.692,28.9
19.08,1.699,29
19.085,1.729,29
19.09,1.764,29
19.095,1.732,29
19.1,1.726,29
19.105,1.758,29
19.11,1.797,29.1
19.115,1.772,29.2
19.12,1.761,29.2
19.125,1.79,29.2
19.13,1.831,29.2
19.135,1.81,29.1
19.14,1.801,29.2
19.145,1.83,29.2
19.15,1.873,29.2
19.155,1.865,29.3
19.16,1.866,29.3
19.165,1.898,29.3
19.17,1.933,29.4
19.175,1.933,29.3
19.18,1.947,29.4
19.185,1.999,29.3
19.19,2.046,29.4
19.195,2.033,29.4
19.2,2.046,29.4
19.205,2.09,29.5
19.21,2.133,29.5
19.215,2.112,29.6
19.22,2.101,29.5
19.225,2.126,29.5
19.23,2.154,29.6
19.235,2.111,29.6
19.24,2.073,29.6
19.245,2.055,29.7
19.25,2.04,29.6
19.255,1.962,29.6
19.26,1.897,29.6
19.265,1.868,29.6
19.27,1.857,29.7
19.275,1.789,29.7
19.28,1.739,29.8
19.285,1.722,29.8
19.29,1.711,29.8
19.295,1.647,29.8
19.3,1.599,29.8
19.305,1.589,29.8
19.31,1.598,29.8
19.315,1.557,29.9
19.32,1.523,29.9
19.325,1.529,29.9
19.33,1.542,29.8
19.335,1.502,29.8
19.34,1.48,29.8
19.345,1.49,29.8
19.35,1.508,29.9
19.355,1.476,29.9
19.36,1.468,30
19.365,1.498,29.9
19.37,1.522,29.9
19.375,1.485,29.9
19.38,1.463,29.9
19.385,1.486,29.9
19.39,1.518,29.8
19.395,1.488,29.9
19.4,1.47,29.8
19.405,1.488,29.9
19.41,1.515,29.8
19.415,1.481,29.9
19.42,1.468,29.9
19.425,1.484,29.9
19.43,1.507,29.9
19.435,1.48,29.9
19.44,1.466,29.9
19.445,1.482,29.9
19.45,1.514,30
19.455,1.478,30
19.46,1.459,30
19.465,1.474,30
19.47,1.504,30
19.475,1.478,30.1
19.48,1.457,30.1
19.485,1.474,30.1
19.49,1.501,30.1
19.495,1.468,30.1
19.5,1.448,30.1
19.505,1.47,30.1
19.51,1.507,30
19.515,1.474,30
19.52,1.453,30
19.525,1.467,30
19.53,1.493,30.1
19.535,1.47,30.1
19.54,1.461,30.1
19.545,1.488,30.1
19.55,1.514,30.1
19.555,1.477,30.1
19.56,1.458,30.1
19.565,1.489,30.2
19.57,1.514,30.2
19.575,1.486,30.2
19.58,1.48,30.2
19.585,1.504,30.2
19.59,1.528,30.2
19.595,1.496,30.2
19.6,1.482,30.2
19.605,1.5,30.2
19.61,1.532,30.2
19.615,1.509,30.2
19.62,1.497,30.2
19.625,1.515,30.2
19.63,1.537,30.3
19.635,1.506,30.2
19.64,1.492,30.2
19.645,1.527,30.3
19.65,1.566,30.3
19.655,1.547,30.3
19.66,1.558,30.3
19.665,1.597,30.3
19.67,1.633,30.3
19.675,1.599,30.3
19.68,1.575,30.3
19.685,1.592,30.3
19.69,1.606,30.2
19.695,1.549,30.3
19.7,1.513,30.3
19.705,1.527,30.3
19.71,1.552,30.3
19.715,1.514,30.3
19.72,1.494,30.3
19.725,1.511,30.2
19.73,1.541,30.2
19.735,1.512,30.1
19.74,1.498,30.1
19.745,1.529,30.2
19.75,1.556,30.2
19.755,1.53,30.3
19.76,1.516,30.2
19.765,1.534,30.3
19.77,1.562,30.3
19.775,1.512,30.3
19.78,1.458,30.3
19.785,1.422,30.3
19.79,1.431,30.3
19.795,1.511,30.3
19.8,1.722,30.4
19.805,2.081,30.4
19.81,2.526,30.4
19.815,2.869,30.4
19.82,3.056,30.3
19.825,3.042,30.3
19.83,2.851,30.3
19.835,2.249,30.3
19.84,1.515,30.3
19.845,1.141,30.3
19.85,0.971,30.3
19.855,0.878,30.3
19.86,0.882,30.3
19.865,0.905,30.3
19.87,0.921,30.3
19.875,0.89,30.3
19.88,0.916,30.3
19.885,0.923,30.2
19.89,0.939,30.3
19.895,0.938,30.2
19.9,0.991,30.3
19.905,1.133,30.3
19.91,1.324,30.4
19.915,1.457,30.4
19.92,1.581,30.4
19.925,1.679,30.3
19.93,1.735,30.3
19.935,1.721,30.3
19.94,1.721,30.3
19.945,1.751,30.3
19.95,1.785,30.3
19.955,1.757,30.3
19.96,1.75,30.3
19.965,1.769,30.3
19.97,1.805,30.3
19.975,1.785,30.3
19.98,1.78,30.3
19.985,1.801,30.3
19.99,1.835,30.3
19.995,1.814,30.3
20,1.813,30.3
20.005,1.844,30.2
20.01,1.883,30.3
20.015,1.863,30.3
20.02,1.874,30.3
20.025,1.921,30.4
20.03,1.969,30.4
20.035,1.955,30.4
20.04,1.969,30.3
20.045,2.017,30.3
20.05,2.065,30.3
20.055,2.065,30.3
20.06,2.081,30.2
20.065,2.122,30.3
20.07,2.159,30.3
20.075,2.131,30.3
20.08,2.131,30.3
20.085,2.158,30.3
20.09,2.174,30.3
20.095,2.122,30.3
20.1,2.09,30.3
20.105,2.079,30.3
20.11,2.057,30.3
20.115,1.976,30.3
20.12,1.918,30.3
20.125,1.897,30.2
20.13,1.877,30.2
20.135,1.795,30.2
20.14,1.739,30.2
20.145,1.73,30.2
20.15,1.722,30.3
20.155,1.649,30.2
20.16,1.611,30.3
20.165,1.611,30.2
20.17,1.612,30.2
20.175,1.556,30.2
20.18,1.529,30.2
20.185,1.528,30.2
20.19,1.542,30.2
20.195,1.508,30.2
20.2,1.492,30.3
20.205,1.506,30.3
20.21,1.521,30.3
20.215,1.49,30.3
20.22,1.48,30.3
20.225,1.506,30.3
20.23,1.53,30.3
20.235,1.496,30.2
20.24,1.48,30.1
20.245,1.499,30.2
20.25,1.522,30.2
20.255,1.484,30.2
20.26,1.474,30.2
20.265,1.493,30.2
20.27,1.51,30.3
20.275,1.472,30.3
20.28,1.46,30.3
20.285,1.482,30.3
20.29,1.502,30.4
20.295,1.465,30.3
20.3,1.457,30.3
20.305,1.477,30.3
20.31,1.496,30.2
20.315,1.467,30.2
20.32,1.456,30.2
20.325,1.474,30.1
20.33,1.496,30.1
20.335,1.46,30.1
20.34,1.449,30.1
20.345,1.478,30.1
20.35,1.503,30.2
20.355,1.459,30.1
20.36,1.439,30.1
20.365,1.47,30.1
20.37,1.496,30.1
20.375,1.46,30.1
20.38,1.452,30.1
20.385,1.467,30.2
20.39,1.492,30.2
20.395,1.463,30.2
20.4,1.455,30.2
20.405,1.48,30.1
20.41,1.509,30.1
20.415,1.476,30.1
20.42,1.468,30.2
20.425,1.489,30.1
20.43,1.51,30.1
20.435,1.478,30.1
20.44,1.472,30.1
20.445,1.493,30.1
20.45,1.509,30.2
20.455,1.474,30.2
20.46,1.47,30.2
20.465,1.497,30.2
20.47,1.526,30.2
20.475,1.498,30.2
20.48,1.488,30.2
20.485,1.511,30.3
20.49,1.538,30.2
20.495,1.518,30.2
20.5,1.509,30.2
20.505,1.536,30.2
20.51,1.556,30.1
20.515,1.519,30.1
20.52,1.505,30.1
20.525,1.53,30.1
20.53,1.571,30.1
20.535,1.546,30.1
20.54,1.55,30.1
20.545,1.593,30.2
20.55,1.633,30.1
20.555,1.607,30.1
20.56,1.594,30.1
20.565,1.6,30.1
20.57,1.616,30.1
20.575,1.571,30.1
20.58,1.543,30.1
20.585,1.538,30.2
20.59,1.54,30.1
20.595,1.51,30.1
20.6,1.499,30.1
20.605,1.514,30
20.61,1.543,30
20.615,1.51,30
20.62,1.498,30
20.625,1.522,30.1
20.63,1.545,30.1
20.635,1.513,30.2
20.64,1.512,30.1
20.645,1.543,30.1
20.65,1.562,30.2
20.655,1.521,30.1
20.66,1.494,30.1
20.665,1.486,30.1
20.67,1.456,30.1
20.675,1.398,30.1
20.68,1.485,30.1
20.685,1.728,30.1
20.69,2.079,30.1
20.695,2.474,30
20.7,2.834,30.1
20.705,3.036,30.1
20.71,3.011,30.1
20.715,2.771,30.2
20.72,2.224,30.1
20.725,1.538,30.1
20.73,1.149,30.1
20.735,0.913,30.1
20.74,0.843,30.2
20.745,0.897,30.1
20.75,0.927,30.1
20.755,0.886,30.2
20.76,0.87,30.2
20.765,0.938,30.2
20.77,0.948,30.2
20.775,0.902,30.2
20.78,0.92,30.1
20.785,1.022,30.1
20.79,1.168,30.1
20.795,1.296,30.1
20.8,1.457,30.1
20.805,1.621,30.1
20.81,1.716,30.1
20.815,1.708,30.1
20.82,1.71,30
20.825,1.74,30
20.83,1.77,30
20.835,1.744,30
20.84,1.739,30
20.845,1.769,30
20.85,1.794,30
20.855,1.763,30
20.86,1.758,30
20.865,1.79,30
20.87,1.811,30
20.875,1.79,30
20.88,1.797,30
20.885,1.821,30
20.89,1.856,30
20.895,1.838,30
20.9,1.853,30
20.905,1.889,30
20.91,1.927,29.9
20.915,1.909,29.9
20.92,1.926,29.9
20.925,1.976,29.9
20.93,2.028,29.8
20.935,2.019,29.9
20.94,2.04,29.9
20.945,2.093,29.9
20.95,2.134,29.9
20.955,2.115,29.8
20.96,2.123,29.8
20.965,2.154,29.8
20.97,2.179,29.9
20.975,2.142,29.9
20.98,2.119,29.9
20.985,2.122,29.9
20.99,2.109,29.9
20.995,2.041,29.9
21,1.996,29.8
21.005,1.973,29.9
21.01,1.937,29.9
21.015,1.857,29.9
21.02,1.813,30
21.025,1.797,29.9
21.03,1.782,29.9
21.035,1.709,29.9
21.04,1.667,29.9
21.045,1.659,30
21.05,1.652,29.9
21.055,1.59,29.9
21.06,1.563,30
21.065,1.575,30
21.07,1.579,30
21.075,1.53,30
21.08,1.518,30
21.085,1.534,29.9
21.09,1.546,29.9
21.095,1.51,29.8
21.1,1.509,29.9
21.105,1.528,29.9
21.11,1.541,29.9
21.115,1.496,29.9
21.12,1.481,30
21.125,1.51,29.9
21.13,1.529,29.9
21.135,1.492,29.9
21.14,1.485,29.9
21.145,1.506,29.9
21.15,1.525,29.9
21.155,1.497,29.9
21.16,1.49,30
21.165,1.505,29.9
21.17,1.523,29.9
21.175,1.484,29.9
21.18,1.474,29.9
21.185,1.493,29.8
21.19,1.514,29.8
21.195,1.481,29.8
21.2,1.463,29.8
21.205,1.474,29.8
21.21,1.494,29.8
21.215,1.468,29.8
21.22,1.466,29.8
21.225,1.494,29.8
21.23,1.508,29.8
21.235,1.474,29.7
21.24,1.465,29.6
21.245,1.492,29.6
21.25,1.498,29.6
21.255,1.467,29.6
21.26,1.463,29.5
21.265,1.492,29.5
21.27,1.509,29.5
21.275,1.472,29.4
21.28,1.472,29.3
21.285,1.502,29.3
21.29,1.518,29.2
21.295,1.484,29.2
21.3,1.476,29.2
21.305,1.499,29.2
21.31,1.514,29.2
21.315,1.484,29.2
21.32,1.474,29.1
21.325,1.496,29
21.33,1.52,29
21.335,1.49,28.9
21.34,1.482,28.9
21.345,1.511,28.8
21.35,1.532,28.7
21.355,1.498,28.8
21.36,1.494,28.7
21.365,1.528,28.7
21.37,1.541,28.6
21.375,1.502,28.6
21.38,1.506,28.6
21.385,1.538,28.7
21.39,1.55,28.6
21.395,1.516,28.6
21.4,1.512,28.6
21.405,1.548,28.6
21.41,1.583,28.6
21.415,1.571,28.7
21.42,1.587,28.7
21.425,1.619,28.6
21.43,1.644,28.6
21.435,1.599,28.5
21.44,1.578,28.5
21.445,1.595,28.6
21.45,1.601,28.6
21.455,1.544,28.5
21.46,1.514,28.5
21.465,1.533,28.4
21.47,1.543,28.5
21.475,1.506,28.5
21.48,1.502,28.5
21.485,1.534,28.6
21.49,1.55,28.5
21.495,1.521,28.5
21.5,1.514,28.5
21.505,1.539,28.5
21.51,1.556,28.4
21.515,1.517,28.4
21.52,1.509,28.4
21.525,1.53,28.3
21.53,1.546,28.3
21.535,1.486,28.4
21.54,1.443,28.4
21.545,1.423,28.4
21.55,1.465,28.4
21.555,1.588,28.3
21.56,1.822,28.3
21.565,2.221,28.3
21.57,2.641,28.3
21.575,2.879,28.3
21.58,2.909,28.3
21.585,2.781,28.2
21.59,2.454,28.2
21.595,1.738,28.2
21.6,1.203,28.2
21.605,0.975,28.2
21.61,0.883,28.2
21.615,0.867,28.1
21.62,0.901,28.1
21.625,0.923,28.1
21.63,0.934,28.1
21.635,0.928,28.1
21.64,0.951,28.1
21.645,0.952,28.1
21.65,0.978,28
21.655,0.973,28.1
21.66,1.05,28.1
21.665,1.215,28
21.67,1.407,28.1
21.675,1.539,28.1
21.68,1.647,28.1
21.685,1.728,28.1
21.69,1.769,28
21.695,1.743,27.9
21.7,1.746,27.9
21.705,1.775,27.9
21.71,1.798,27.9
21.715,1.773,28
21.72,1.763,28
21.725,1.797,27.9
21.73,1.824,27.9
21.735,1.796,28
21.74,1.796,27.9
21.745,1.838,27.9
21.75,1.862,27.9
21.755,1.832,27.8
21.76,1.829,27.8
21.765,1.865,27.9
21.77,1.893,27.8
21.775,1.877,27.8
21.78,1.893,27.8
21.785,1.946,27.8
21.79,1.985,27.8
21.795,1.97,27.9
21.8,1.988,27.8
21.805,2.034,27.9
21.81,2.064,27.8
21.815,2.06,27.7
21.82,2.078,27.7
21.825,2.118,27.7
21.83,2.147,27.8
21.835,2.122,27.9
21.84,2.115,27.9
21.845,2.148,27.9
21.85,2.157,27.9
21.855,2.103,27.9
21.86,2.058,27.8
21.865,2.053,27.8
21.87,2.037,27.8
21.875,1.964,27.8
21.88,1.915,27.8
21.885,1.906,27.8
21.89,1.882,27.9
21.895,1.803,28
21.9,1.748,28
21.905,1.739,28
21.91,1.728,28
21.915,1.665,27.9
21.92,1.628,27.9
21.925,1.625,27.9
21.93,1.609,27.9
21.935,1.558,28
21.94,1.536,28
21.945,1.554,28.1
21.95,1.56,28.1
21.955,1.511,28
21.96,1.5,28
21.965,1.523,28
21.97,1.541,28
21.975,1.506,27.9
21.98,1.502,27.9
21.985,1.532,28
21.99,1.539,28
21.995,1.493,28
22,1.489,28
22.005,1.522,28
22.01,1.53,27.9
22.015,1.486,27.9
22.02,1.484,27.9
22.025,1.514,27.9
22.03,1.522,27.9
22.035,1.49,27.9
22.04,1.49,27.9
22.045,1.517,27.9
22.05,1.522,27.9
22.055,1.482,27.9
22.06,1.474,28
22.065,1.506,28
22.07,1.521,28
22.075,1.472,27.9
22.08,1.466,27.9
22.085,1.497,27.9
22.09,1.508,27.8
22.095,1.472,27.9
22.1,1.471,27.9
22.105,1.492,27.9
22.11,1.498,27.9
22.115,1.47,27.9
22.12,1.476,27.9
22.125,1.502,27.9
22.13,1.511,28
22.135,1.472,28
22.14,1.47,28
22.145,1.499,27.9
22.15,1.514,27.9
22.155,1.478,27.9
22.16,1.47,27.9
22.165,1.505,27.9
22.17,1.526,27.9
22.175,1.482,27.9
22.18,1.472,27.9
22.185,1.498,27.9
22.19,1.519,27.9
22.195,1.485,27.9
22.2,1.478,27.8
22.205,1.518,27.9
22.21,1.542,27.8
22.215,1.512,27.9
22.22,1.504,27.9
22.225,1.524,27.8
22.23,1.534,27.9
22.235,1.501,27.8
22.24,1.508,27.7
22.245,1.556,27.7
22.25,1.582,27.7
22.255,1.561,27.7
22.26,1.573,27.8
22.265,1.61,27.8
22.27,1.611,27.8
22.275,1.567,27.8
22.28,1.563,27.7
22.285,1.577,27.7
22.29,1.563,27.8
22.295,1.502,27.8
22.3,1.486,27.8
22.305,1.521,27.8
22.31,1.539,27.7
22.315,1.512,27.7
22.32,1.511,27.7
22.325,1.536,27.7
22.33,1.542,27.7
22.335,1.506,27.7
22.34,1.502,27.7
22.345,1.534,27.8
22.35,1.542,27.8
22.355,1.51,27.7
22.36,1.507,27.7
22.365,1.537,27.6
22.37,1.53,27.6
22.375,1.459,27.7
22.38,1.416,27.7
22.385,1.452,27.8
22.39,1.576,27.7
22.395,1.76,27.7
22.4,2.095,27.7
22.405,2.513,27.8
22.41,2.832,27.7
22.415,2.912,27.7
22.42,2.818,27.7
22.425,2.585,27.6
22.43,1.983,27.6
22.435,1.328,27.6
22.44,1.024,27.6
22.445,0.921,27.7
22.45,0.929,27.7
22.455,0.922,27.7
22.46,0.926,27.8
22.465,0.969,27.7
22.47,1.014,27.7
22.475,1.028,27.7
22.48,1.006,27.6
22.485,1.019,27.7
22.49,1.051,27.8
22.495,1.08,27.7
22.5,1.184,27.7
22.505,1.359,27.7
22.51,1.517,27.6
22.515,1.597,27.7
22.52,1.665,27.7
22.525,1.723,27.6
22.53,1.746,27.7
22.535,1.724,27.7
22.54,1.735,27.7
22.545,1.768,27.7
22.55,1.782,27.7
22.555,1.748,27.7
22.56,1.758,27.7
22.565,1.79,27.6
22.57,1.812,27.7
22.575,1.786,27.7
22.58,1.79,27.6
22.585,1.823,27.7
22.59,1.845,27.7
22.595,1.828,27.7
22.6,1.84,27.8
22.605,1.873,27.8
22.61,1.896,27.8
22.615,1.878,27.8
22.62,1.901,27.8
22.625,1.959,27.7
22.63,1.992,27.7
22.635,1.971,27.7
22.64,1.988,27.7
22.645,2.037,27.7
22.65,2.067,27.7
22.655,2.052,27.7
22.66,2.067,27.7
22.665,2.103,27.7
22.67,2.123,27.7
22.675,2.093,27.7
22.68,2.094,27.7
22.685,2.118,27.7
22.69,2.109,27.8
22.695,2.045,27.8
22.7,2.014,27.8
22.705,2.002,27.8
22.71,1.97,27.7
22.715,1.889,27.7
22.72,1.848,27.7
22.725,1.833,27.8
22.73,1.796,27.8
22.735,1.713,27.8
22.74,1.68,27.8
22.745,1.677,27.8
22.75,1.656,27.8
22.755,1.591,27.8
22.76,1.575,27.8
22.765,1.58,27.9
22.77,1.56,27.9
22.775,1.513,28
22.78,1.506,28
22.785,1.528,28
22.79,1.53,28
22.795,1.496,28
22.8,1.486,28
22.805,1.501,28.1
22.81,1.503,28.2
22.815,1.472,28.2
22.82,1.469,28.2
22.825,1.497,28.3
22.83,1.501,28.3
22.835,1.471,28.3
22.84,1.476,28.4
22.845,1.504,28.4
22.85,1.513,28.5
22.855,1.474,28.5
22.86,1.474,28.5
22.865,1.51,28.5
22.87,1.519,28.5
22.875,1.48,28.5
22.88,1.472,28.5
22.885,1.5,28.6
22.89,1.504,28.6
22.895,1.461,28.7
22.9,1.46,28.7
22.905,1.49,28.7
22.91,1.498,28.7
22.915,1.46,28.8
22.92,1.454,28.9
22.925,1.486,28.9
22.93,1.496,28.9
22.935,1.461,28.9
22.94,1.459,29
22.945,1.484,29
22.95,1.492,29.1
22.955,1.459,29
22.96,1.46,29
22.965,1.486,29
22.97,1.493,29.1
22.975,1.456,29.1
22.98,1.456,29.1
22.985,1.492,29.1
22.99,1.517,29.1
22.995,1.481,29.2
23,1.477,29.2
23.005,1.506,29.3
23.01,1.503,29.3
23.015,1.467,29.3
23.02,1.472,29.3
23.025,1.507,29.3
23.03,1.519,29.4
23.035,1.488,29.3
23.04,1.493,29.4
23.045,1.529,29.4
23.05,1.532,29.4
23.055,1.484,29.4
23.06,1.482,29.4
23.065,1.53,29.4
23.07,1.555,29.5
23.075,1.534,29.5
23.08,1.552,29.6
23.085,1.593,29.6
23.09,1.615,29.6
23.095,1.581,29.6
23.1,1.567,29.6
23.105,1.589,29.6
23.11,1.593,29.6
23.115,1.53,29.6
23.12,1.51,29.6
23.125,1.516,29.6
23.13,1.521,29.6
23.135,1.48,29.7
23.14,1.486,29.6
23.145,1.518,29.7
23.15,1.529,29.7
23.155,1.493,29.7
23.16,1.497,29.8
23.165,1.526,29.8
23.17,1.53,29.8
23.175,1.498,29.8
23.18,1.498,29.9
23.185,1.526,29.9
23.19,1.529,29.8
23.195,1.484,29.8
23.2,1.456,29.8
23.205,1.433,29.7
23.21,1.42,29.8
23.215,1.476,29.8
23.22,1.679,29.8
23.225,2.036,29.8
23.23,2.472,29.8
23.235,2.809,29.8
23.24,3.015,29.9
23.245,3.017,29.9
23.25,2.803,29.9
23.255,2.2,29.9
23.26,1.498,29.8
23.265,1.139,29.9
23.27,0.958,29.9
23.275,0.874,29.9
23.28,0.907,29.9
23.285,0.95,29.9
23.29,0.954,29.9
23.295,0.938,29.9
23.3,0.991,30
23.305,1.017,30
23.31,1.009,30
23.315,0.986,30
23.32,1.051,30
23.325,1.196,30
23.33,1.344,30
23.335,1.461,30
23.34,1.594,30
23.345,1.697,30
23.35,1.726,30
23.355,1.693,30
23.36,1.703,30.1
23.365,1.748,30.1
23.37,1.768,30.1
23.375,1.742,30.1
23.38,1.752,30
23.385,1.79,30
23.39,1.798,30
23.395,1.768,30
23.4,1.776,30
23.405,1.813,29.9
23.41,1.83,30
23.415,1.792,30
23.42,1.803,30
23.425,1.859,30
23.43,1.886,30
23.435,1.859,30
23.44,1.878,30
23.445,1.932,30
23.45,1.952,30
23.455,1.942,30
23.46,1.971,30
23.465,2.026,30
23.47,2.06,30
23.475,2.046,30
23.48,2.077,30
23.485,2.127,30.1
23.49,2.152,30.1
23.495,2.127,30.1
23.5,2.126,30.1
23.505,2.159,30
23.51,2.175,30
23.515,2.128,30.1
23.52,2.093,30.1
23.525,2.073,30.1
23.53,2.042,30.1
23.535,1.954,30.1
23.54,1.901,30
23.545,1.892,30.1
23.55,1.857,30.1
23.555,1.776,30.2
23.56,1.736,30.1
23.565,1.728,30.1
23.57,1.699,30
23.575,1.631,30
23.58,1.603,30.1
23.585,1.605,30.1
23.59,1.585,30.2
23.595,1.532,30.2
23.6,1.53,30.1
23.605,1.556,30.1
23.61,1.538,30.1
23.615,1.478,30.1
23.62,1.478,30.1
23.625,1.517,30.1
23.63,1.526,30.1
23.635,1.49,30.1
23.64,1.486,30.2
23.645,1.507,30.2
23.65,1.509,30.2
23.655,1.469,30.2
23.66,1.469,30.2
23.665,1.505,30.3
23.67,1.516,30.3
23.675,1.484,30.2
23.68,1.49,30.2
23.685,1.509,30.2
23.69,1.509,30.1
23.695,1.472,30.2
23.7,1.478,30.2
23.705,1.507,30.2
23.71,1.51,30.2
23.715,1.47,30.1
23.72,1.472,30.1
23.725,1.496,30.2
23.73,1.497,30.2
23.735,1.453,30.2
23.74,1.463,30.2
23.745,1.496,30.1
23.75,1.501,30.1
23.755,1.455,30.1
23.76,1.459,30.1
23.765,1.494,30.2
23.77,1.496,30.2
23.775,1.46,30.2
23.78,1.461,30.2
23.785,1.488,30.1
23.79,1.49,30.2
23.795,1.458,30.2
23.8,1.464,30.2
23.805,1.496,30.2
23.81,1.502,30.3
23.815,1.464,30.3
23.82,1.466,30.3
23.825,1.501,30.2
23.83,1.509,30.3
23.835,1.465,30.2
23.84,1.46,30.2
23.845,1.498,30.2
23.85,1.508,30.1
23.855,1.473,30.2
23.86,1.482,30.2
23.865,1.506,30.2
23.87,1.507,30.2
23.875,1.469,30.2
23.88,1.477,30.2
23.885,1.518,30.2
23.89,1.526,30.2
23.895,1.485,30.3
23.9,1.492,30.2
23.905,1.532,30.2
23.91,1.544,30.3
23.915,1.501,30.2
23.92,1.498,30.3
23.925,1.534,30.3
23.93,1.546,30.3
23.935,1.528,30.3
23.94,1.555,30.3
23.945,1.615,30.2
23.95,1.633,30.2
23.955,1.591,30.3
23.96,1.575,30.2
23.965,1.594,30.2
23.97,1.598,30.2
23.975,1.547,30.2
23.98,1.524,30.3
23.985,1.539,30.2
23.99,1.528,30.2
23.995,1.488,30.2
24,1.493,30.1
24.005,1.533,30.1
24.01,1.542,30.1
24.015,1.501,30.2
24.02,1.5,30.2
24.025,1.53,30.2
24.03,1.537,30.2
24.035,1.504,30.2
24.04,1.51,30.2
24.045,1.539,30.2
24.05,1.541,30.2
24.055,1.494,30.2
24.06,1.474,30.2
24.065,1.449,30.2
24.07,1.407,30.2
24.075,1.411,30.2
24.08,1.592,30.2
24.085,1.914,30.2
24.09,2.365,30.2
24.095,2.767,30.2
24.1,3.067,30.3
24.105,3.146,30.3
24.11,2.995,30.2
24.115,2.509,30.2
24.12,1.744,30.1
24.125,1.256,30.1
24.13,0.999,30.2
24.135,0.843,30.2
24.14,0.843,30.1
24.145,0.886,30.2
24.15,0.877,30.2
24.155,0.827,30.2
24.16,0.871,30.2
24.165,0.92,30.1
24.17,0.902,30
24.175,0.885,30.1
24.18,0.937,30.1
24.185,1.083,30.1
24.19,1.255,30.1
24.195,1.4,30.1
24.2,1.561,30.1
24.205,1.693,30.1
24.21,1.742,30.1
24.215,1.72,30.2
24.22,1.724,30.1
24.225,1.761,30.2
24.23,1.767,30.1
24.235,1.736,30.1
24.24,1.756,30.1
24.245,1.785,30.1
24.25,1.794,30.1
24.255,1.765,30.1
24.26,1.777,30.1
24.265,1.812,30.2
24.27,1.822,30.1
24.275,1.796,30.1
24.28,1.813,30.1
24.285,1.868,30.2
24.29,1.882,30.2
24.295,1.861,30.2
24.3,1.881,30.1
24.305,1.936,30.1
24.31,1.961,30.1
24.315,1.949,30.1
24.32,1.978,30.1
24.325,2.036,30.1
24.33,2.061,30.1
24.335,2.047,30
24.34,2.072,30.1
24.345,2.125,30.1
24.35,2.141,30.1
24.355,2.119,30.1
24.36,2.136,30.1
24.365,2.175,30.1
24.37,2.177,30.2
24.375,2.135,30.2
24.38,2.117,30.2
24.385,2.116,30.1
24.39,2.081,30.1
24.395,1.999,30.1
24.4,1.964,30.1
24.405,1.943,30.1
24.41,1.892,30.2
24.415,1.81,30.1
24.42,1.774,30.1
24.425,1.768,30.1
24.43,1.735,30.1
24.435,1.651,30.2
24.44,1.618,30.1
24.445,1.627,30.2
24.45,1.609,30.2
24.455,1.551,30.1
24.46,1.538,30.2
24.465,1.558,30.1
24.47,1.552,30.1
24.475,1.498,30.1
24.48,1.492,30.1
24.485,1.518,30.2
24.49,1.519,30.1
24.495,1.482,30.1
24.5,1.488,30.1
24.505,1.527,30.1
24.51,1.522,30.1
24.515,1.468,30.1
24.52,1.468,30.2
24.525,1.503,30.1
24.53,1.506,30.1
24.535,1.473,30.1
24.54,1.481,30.1
24.545,1.51,30.1
24.55,1.514,30.1
24.555,1.476,30.2
24.56,1.474,30.2
24.565,1.507,30.1
24.57,1.506,30.1
24.575,1.462,30
24.58,1.461,30
24.585,1.492,30
24.59,1.493,30
24.595,1.455,30
24.6,1.456,30
24.605,1.478,30
24.61,1.484,30
24.615,1.449,30.1
24.62,1.456,30.1
24.625,1.482,30.2
24.63,1.485,30.2
24.635,1.447,30.2
24.64,1.45,30.2
24.645,1.482,30.1
24.65,1.484,30.1
24.655,1.452,30.1
24.66,1.459,30.1
24.665,1.49,30.1
24.67,1.49,30.1
24.675,1.453,30.1
24.68,1.455,30
24.685,1.486,30.1
24.69,1.5,30.1
24.695,1.463,30.1
24.7,1.454,30.1
24.705,1.488,30.1
24.71,1.498,30.1
24.715,1.468,30.1
24.72,1.476,30.1
24.725,1.506,30.1
24.73,1.505,30
24.735,1.462,30.1
24.74,1.473,30.1
24.745,1.513,30.1
24.75,1.515,30.1
24.755,1.488,30.1
24.76,1.496,30.2
24.765,1.522,30.1
24.77,1.519,30
24.775,1.486,30
24.78,1.506,29.9
