time,ECG,BR
1.345,1.256,29.4
1.35,1.431,29.5
1.355,1.612,29.5
1.36,1.675,29.5
1.365,1.679,29.6
1.37,1.706,29.6
1.375,1.761,29.6
1.38,1.744,29.6
1.385,1.722,29.6
1.39,1.739,29.5
1.395,1.789,29.5
1.4,1.774,29.5
1.405,1.758,29.6
1.41,1.774,29.6
1.415,1.817,29.7
1.42,1.797,29.7
1.425,1.786,29.7
1.43,1.811,29.7
1.435,1.865,29.8
1.44,1.857,29.8
1.445,1.852,29.7
1.45,1.886,29.8
1.455,1.944,29.8
1.46,1.942,29.8
1.465,1.937,29.9
1.47,1.973,29.8
1.475,2.041,29.8
1.48,2.041,29.8
1.485,2.038,29.8
1.49,2.075,29.8
1.495,2.136,29.9
1.5,2.133,29.9
1.505,2.127,29.9
1.51,2.158,29.9
1.515,2.202,29.9
1.52,2.171,29.9
1.525,2.119,29.9
1.53,2.109,29.9
1.535,2.116,29.9
1.54,2.048,29.9
1.545,1.965,30
1.55,1.93,30
1.555,1.931,30
1.56,1.859,30
1.565,1.781,29.9
1.57,1.755,29.9
1.575,1.758,30
1.58,1.702,30
1.585,1.635,30.1
1.59,1.614,30
1.595,1.633,30
1.6,1.583,30
1.605,1.539,30
1.61,1.534,30
1.615,1.565,30.1
1.62,1.527,30.1
1.625,1.482,30.1
1.63,1.482,30.1
1.635,1.519,30.1
1.64,1.489,30.1
1.645,1.46,30
1.65,1.476,30
1.655,1.52,30.1
1.66,1.499,30.1
1.665,1.474,30
1.67,1.488,30
1.675,1.529,30
1.68,1.5,30
1.685,1.472,30
1.69,1.489,30
1.695,1.529,30.1
1.7,1.508,30.1
1.705,1.476,30.2
1.71,1.478,30.2
1.715,1.506,30.2
1.72,1.49,30.1
1.725,1.466,30.1
1.73,1.48,30.1
1.735,1.518,30.1
1.74,1.494,30.1
1.745,1.463,30.1
1.75,1.476,30.1
1.755,1.509,30.1
1.76,1.48,30.1
1.765,1.448,30.1
1.77,1.461,30.2
1.775,1.505,30.1
1.78,1.477,30.1
1.785,1.454,30.1
1.79,1.466,30.1
1.795,1.506,30.2
1.8,1.489,30.2
1.805,1.458,30.2
1.81,1.459,30.2
1.815,1.498,30.2
1.82,1.481,30.2
1.825,1.46,30.2
1.83,1.474,30.2
1.835,1.516,30.2
1.84,1.492,30.1
1.845,1.466,30.1
1.85,1.482,30.1
1.855,1.528,30.1
